pcno,carat,cut,color,clarity,depth,table,price
1,0.23,Ideal,E,SI2,61.5,55,326
2,0.21,Premium,E,SI1,59.8,61,326
3,0.23,Good,E,VS1,56.9,65,327
4,0.29,Premium,I,VS2,62.4,58,nan
5,0.31,Good,J,SI2,63.3,58,335
6,0.24,Very Good,J,VVS2,nan,57,336
7,0.24,Very Good,I,VVS1,62.3,57,336
8,0.26,Very Good,H,SI1,61.9,55,337
9,0.22,Fair,E,VS2,65.1,61,nan
10,0.23,Very Good,H,VS1,59.4,61,338
11,0.3,Good,J,SI1,64,55,339
12,0.23,Ideal,J,VS1,62.8,56,340
13,0.23,Ideal,J,VS1,nan,56,340
14,0.22,Premium,F,SI1,60.4,61,342
15,0.31,Ideal,J,SI2,62.2,54,344
